********
* The Activity Log contains a detailed list of the steps the Evernote application performs,
* as well as information about your account and your device. Your Note titles, tags,
* Notebook names and occasionally Note content also may be included. We treat your
* Activity Log data as confidential, and the terms of our Privacy Policy apply (http://evernote.com/privacy).
*
* You may remove anything you do not want to send us.
********


[11384] Log opened on 2018/02/26 00:31:29 (UTC+8:00), logging level: [INFO   ]
00:31:31 [INFO   ] [11384] [12888] Loaded session count: 1, last session: 2018/02/26 00:15:00
00:31:31 [INFO   ] [11384] [12888] Opened database: D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb (46.6 MB Fixed 15.0 GB free)
00:31:31 [INFO   ] [11384] [12888] * email: 1528038517@qq.com
00:31:31 [INFO   ] [11384] [12888] * user: 13625279
00:31:32 [INFO   ] [11384] [4300] Import folder: "D:\印象笔记\LocalFiles" started, ImportOneLevelDeep
00:31:32 [INFO   ] [11384] [17484] Incentive received: incentive40Off, valid until 2018/02/27 00:31:32
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\.gitattributes"
00:31:32 [INFO   ] [11384] [21672] Sync rate configuration changed:
00:31:32 [INFO   ] [11384] [21672] * syncStateIntervalMillis=900000
00:31:32 [INFO   ] [11384] [21672] * updateNoteWhenIdleForMillis=30000
00:31:32 [INFO   ] [11384] [21672] * updateNoteDuringEditIntervalMillis=60000
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Crashes\AppState.0"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.accounts"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.sessiondata"
00:31:32 [ERROR  ] [11384] [4300] Can't load file due to its size of 46.6 MB, maximum allowed size is 25.0 MB
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.activitylog"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.cardviews"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.commengine"
00:31:32 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.context"
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.snippets"
00:31:33 [INFO   ] [17536] [22216] Starting EvernoteSubprocess.exe
00:31:33 [INFO   ] [17536] [22216]  * Command-line params: --type=renderer --no-sandbox --service-pipe-token=499A52BD22FD0C7D36FBE26A91FEF069 --lang=en-US --lang=zh-CN --log-file="D:\印象笔记\LocalFiles\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --enable-pinch --device-scale-factor=1.25 --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --enable-gpu-async-worker-context --service-request-channel-token=499A52BD22FD0C7D36FBE26A91FEF069 --renderer-client-id=6 --mojo-platform-channel-handle=4316 /prefetch:1
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.thumbnails"
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].jpg"
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].png"
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].jpg"
00:31:33 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [4].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [5].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [6].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [7].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [8].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [9].png"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.jpg"
00:31:34 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.png"
00:31:35 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-16.txt"
00:31:35 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-17.txt"
00:31:35 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-22.txt"
00:31:35 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-23.txt"
00:31:35 [INFO   ] [16208] [5712] Starting EvernoteSubprocess.exe
00:31:35 [INFO   ] [16208] [5712]  * Command-line params: --type=renderer --no-sandbox --service-pipe-token=69B707EA4985E1D160222F01DDA584E9 --lang=en-US --lang=zh-CN --log-file="D:\印象笔记\LocalFiles\Logs\cef.log" --log-severity=disable --product-version="Evernote Windows/306387 (zh-CN, DDL); Windows/10.0.0 (Win64);" --enable-pinch --device-scale-factor=1.25 --num-raster-threads=2 --enable-main-frame-before-activation --content-image-texture-target=0,0,3553;0,1,3553;0,2,3553;0,3,3553;0,4,3553;0,5,3553;0,6,3553;0,7,3553;0,8,3553;0,9,3553;0,10,3553;0,11,3553;0,12,3553;0,13,3553;0,14,3553;0,15,3553;0,16,3553;0,17,3553;1,0,3553;1,1,3553;1,2,3553;1,3,3553;1,4,3553;1,5,3553;1,6,3553;1,7,3553;1,8,3553;1,9,3553;1,10,3553;1,11,3553;1,12,3553;1,13,3553;1,14,3553;1,15,3553;1,16,3553;1,17,3553;2,0,3553;2,1,3553;2,2,3553;2,3,3553;2,4,3553;2,5,3553;2,6,3553;2,7,3553;2,8,3553;2,9,3553;2,10,3553;2,11,3553;2,12,3553;2,13,3553;2,14,3553;2,15,3553;2,16,3553;2,17,3553;3,0,3553;3,1,3553;3,2,3553;3,3,3553;3,4,3553;3,5,3553;3,6,3553;3,7,3553;3,8,3553;3,9,3553;3,10,3553;3,11,3553;3,12,3553;3,13,3553;3,14,3553;3,15,3553;3,16,3553;3,17,3553;4,0,3553;4,1,3553;4,2,3553;4,3,3553;4,4,3553;4,5,3553;4,6,3553;4,7,3553;4,8,3553;4,9,3553;4,10,3553;4,11,3553;4,12,3553;4,13,3553;4,14,3553;4,15,3553;4,16,3553;4,17,3553;5,0,3553;5,1,3553;5,2,3553;5,3,3553;5,4,3553;5,5,3553;5,6,3553;5,7,3553;5,8,3553;5,9,3553;5,10,3553;5,11,3553;5,12,3553;5,13,3553;5,14,3553;5,15,3553;5,16,3553;5,17,3553;6,0,3553;6,1,3553;6,2,3553;6,3,3553;6,4,3553;6,5,3553;6,6,3553;6,7,3553;6,8,3553;6,9,3553;6,10,3553;6,11,3553;6,12,3553;6,13,3553;6,14,3553;6,15,3553;6,16,3553;6,17,3553 --enable-gpu-async-worker-context --service-request-channel-token=69B707EA4985E1D160222F01DDA584E9 --renderer-client-id=7 --mojo-platform-channel-handle=4612 /prefetch:1
00:31:35 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-25.txt"
00:31:35 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-26.txt" has zero file size
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-16.txt"
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-17.txt"
00:31:36 [INFO   ] [11384] [12888] Registered session count: 2, last session: 2018/02/26 00:30:00
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-22.txt"
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-25.txt"
00:31:36 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-26.txt" has zero file size
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\README.md"
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\优达无人驾驶Part1Computer Version and Deep learning.enex"
00:31:36 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\深度学习工程师（网易云课堂）.enex"
00:31:36 [INFO   ] [11384] [18160] Client synchronization started
00:31:36 [INFO   ] [11384] [17404] 0% Loaded updateCount: 676
00:31:37 [INFO   ] [11384] [17404] 0% Usage Metrics: sessionCount=2
00:31:37 [INFO   ] [11384] [17404] 0% SyncState: devices used: 2
00:31:37 [INFO   ] [11384] [17404] 0% Client is up to date with the server, updateCount: 676
00:31:38 [INFO   ] [11384] [18160] Client synchronization finished, status: complete
00:31:38 [INFO   ] [11384] [18160] * elapsed time: 1s
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\.gitattributes"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Crashes\AppState.0"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.accounts"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.sessiondata"
00:31:41 [ERROR  ] [11384] [4300] Can't load file due to its size of 46.6 MB, maximum allowed size is 25.0 MB
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.activitylog"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.cardviews"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.commengine"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.context"
00:31:41 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.snippets"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.thumbnails"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].jpg"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].png"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].jpg"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].png"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [4].png"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [5].png"
00:31:42 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [6].png"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [7].png"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [8].png"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [9].png"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.jpg"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.png"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-16.txt"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-17.txt"
00:31:43 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-22.txt"
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-23.txt"
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-25.txt"
00:31:44 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-26.txt" has zero file size
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-16.txt"
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-17.txt"
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-22.txt"
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-25.txt"
00:31:44 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-26.txt" has zero file size
00:31:44 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\README.md"
00:31:45 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\优达无人驾驶Part1Computer Version and Deep learning.enex"
00:31:45 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\深度学习工程师（网易云课堂）.enex"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\.gitattributes"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Crashes\AppState.0"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.accounts"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.sessiondata"
00:31:47 [ERROR  ] [11384] [4300] Can't load file due to its size of 46.6 MB, maximum allowed size is 25.0 MB
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.activitylog"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.cardviews"
00:31:47 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.commengine"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.context"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.snippets"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.thumbnails"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].jpg"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].png"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].jpg"
00:31:48 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [4].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [5].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [6].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [7].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [8].png"
00:31:49 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [9].png"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.jpg"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.png"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-16.txt"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-17.txt"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-22.txt"
00:31:50 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-23.txt"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-25.txt"
00:31:51 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-26.txt" has zero file size
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-16.txt"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-17.txt"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-22.txt"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-25.txt"
00:31:51 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-26.txt" has zero file size
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\README.md"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\优达无人驾驶Part1Computer Version and Deep learning.enex"
00:31:51 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\深度学习工程师（网易云课堂）.enex"
00:31:55 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\.gitattributes"
00:31:55 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Crashes\AppState.0"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.accounts"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.sessiondata"
00:31:56 [ERROR  ] [11384] [4300] Can't load file due to its size of 46.6 MB, maximum allowed size is 25.0 MB
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.activitylog"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.cardviews"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.commengine"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.context"
00:31:56 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.snippets"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\1528038517#app.yinxiang.com.exb.thumbnails"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].jpg"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [2].png"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].jpg"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [3].png"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [4].png"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [5].png"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [6].png"
00:31:57 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [7].png"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [8].png"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image [9].png"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.jpg"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Image.png"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-16.txt"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-17.txt"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-22.txt"
00:31:58 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-23.txt"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-25.txt"
00:31:59 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\AppLog_2018-02-26.txt" has zero file size
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-16.txt"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-17.txt"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-22.txt"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-25.txt"
00:31:59 [INFO   ] [11384] [4300] Folder Import: "D:\印象笔记\LocalFiles\Logs\enclipper_2018-02-26.txt" has zero file size
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\README.md"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\优达无人驾驶Part1Computer Version and Deep learning.enex"
00:31:59 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\深度学习工程师（网易云课堂）.enex"
00:32:02 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\.gitattributes"
00:32:02 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Crashes\AppState.0"
00:32:02 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.accounts"
00:32:02 [ERROR  ] [11384] [4300] Failed to import: "D:\印象笔记\LocalFiles\Databases\.sessiondata"
